relation	concept	argument	metadata
property	door	weight	light	8642	2gms,web1t,jjnnInGloss,	0.00189163	3
property	door	weight	fat	98	2gms,	0.00164239	1
property	barn door	weight	heavy	42	3gms,	0.000703883	1
property	door	weight	heavy	24846	2gms,web1t,	0.416397	2
property	trap door	weight	heavy	78	3gms,	0.00130721	1
property	door	weight	light	8642	2gms,web1t,jjnnInGloss,	0.144832	3
property	dormer	weight	light	68	2gms,	1	1
property	dresser	weight	heavy	193	2gms,	0.556196	1
property	external drive	weight	heavy	71	3gms,	0.00559893	1
property	external drive	weight	light	231	3gms,	0.0182162	1
property	driveshaft	weight	light	51	2gms,	0.56044	1
property	drum	weight	light	1930	2gms,	0.00247681	1
property	snare drum	weight	light	224	3gms,	0.000287464	1
property	drum	weight	fat	895	2gms,	0.0490169	1
property	drum	weight	heavy	9798	2gms,web1t,	0.536612	2
property	drum	weight	light	1930	2gms,	0.105701	1
property	snare drum	weight	light	224	3gms,	0.0122679	1
property	duffel	weight	heavy	318	2gms,nounAndItsGloss,	0.276522	2
property	duffel	weight	light	40	2gms,	0.0347826	1
property	duffle	weight	light	87	2gms,	0.00223249	1
property	duffle	weight	heavy	189	2gms,nounAndItsGloss,	0.242619	2
property	duffle	weight	light	87	2gms,	0.111682	1
property	dulcimer	weight	light	1	nounAndItsGloss,	1	1
property	dumbbell	weight	heavy	1375	2gms,web1t,	0.224857	2
property	dumbbell	weight	light	2424	2gms,web1t,	0.396402	2
property	dumpster	weight	light	1	web1t,	1	1
property	electric	weight	heavy	51	2gms,	0.312883	1
property	electric	weight	light	112	2gms,web1t,	0.687117	2
property	empty	weight	heavy	264	2gms,	0.000943234	1
property	empty	weight	fat	242	2gms,	0.0881282	1
property	empty	weight	heavy	264	2gms,	0.0961398	1
property	empty	weight	light	2168	2gms,	0.789512	1
property	enamel	weight	heavy	740	2gms,web1t,	0.576773	2
property	enamel	weight	light	240	2gms,	0.187062	1
property	aircraft engine	weight	light	382	3gms,	0.00530895	1
property	envelope	weight	fat	2146	2gms,web1t,	0.00527387	2
property	envelope	weight	fat	2146	2gms,web1t,	0.441201	2
property	envelope	weight	heavy	1273	2gms,web1t,	0.261719	2
property	envelope	weight	light	504	2gms,web1t,	0.103618	2
property	exhaust	weight	fat	139	2gms,	0.0350921	1
property	exhaust	weight	heavy	320	2gms,	0.0807877	1
property	exhaust	weight	light	815	2gms,	0.205756	1
property	express	weight	fat	61	2gms,	0.0245078	1
property	express	weight	heavy	504	2gms,	0.202491	1
property	express	weight	light	1402	2gms,	0.563278	1
property	felt	weight	fat	193	2gms,	0.00732114	1
property	felt	weight	heavy	1943	2gms,	0.0737046	1
property	felt	weight	light	890	2gms,	0.0337607	1
property	filament	weight	heavy	84	2gms,	0.0234179	1
property	filament	weight	light	1373	2gms,web1t,	0.382771	2
property	vertical file	weight	light	56	3gms,	0.000842764	1
property	flag	weight	fat	43	2gms,	0.00174697	1
property	flag	weight	heavy	212	2gms,web1t,	0.00861298	2
property	flag	weight	light	2300	2gms,web1t,	0.0934428	2
property	flamethrower	weight	heavy	59	2gms,	1	1
property	flash	weight	light	39480	2gms,web1t,nounAndItsGloss,	0.455668	3
property	flute	weight	heavy	402	2gms,	0.435536	1
property	flute	weight	light	394	2gms,	0.426869	1
property	frame	weight	aeriform	1	web1t,	2.67449e-07	1
property	frame	weight	fat	261	2gms,web1t,	0.00455983	2
property	frame	weight	heavy	5791	2gms,web1t,gan,	0.101172	3
property	framing	weight	heavy	742	2gms,web1t,	0.0129632	2
property	picture frame	weight	heavy	118	3gms,	0.00206153	1
property	frame	weight	light	17855	2gms,web1t,jjnnInGloss,	0.311938	3
property	framing	weight	light	2173	2gms,web1t,	0.0379636	2
property	picture frame	weight	light	54	3gms,	0.000943413	1
property	fret	weight	fat	159	2gms,	0.548276	1
property	fret	weight	heavy	42	2gms,	0.144828	1
property	fret	weight	light	89	2gms,	0.306897	1
property	gearbox	weight	heavy	50	2gms,	0.0415282	1
property	generator	weight	heavy	697	2gms,web1t,	0.0746572	2
property	generator	weight	light	4252	2gms,web1t,	0.455441	2
property	beer glass	weight	light	163	3gms,	0.00249327	1
property	water glass	weight	light	43	3gms,	0.000657734	1
property	gong	weight	heavy	44	2gms,web1t,	0.40367	2
property	gong	weight	light	65	2gms,	0.59633	1
property	grille	weight	heavy	87	2gms,	0.0418873	1
property	grille	weight	light	1401	2gms,	0.674531	1
property	guacamole	weight	fat	157	2gms,	0.590226	1
property	guacamole	weight	light	109	2gms,	0.409774	1
property	guitar	weight	fat	1491	2gms,web1t,	0.02874	2
property	bass guitar	weight	heavy	148	3gms,	0.00285279	1
property	guitar	weight	heavy	38260	2gms,web1t,	0.737485	2
property	guitar	weight	light	5236	2gms,web1t,	0.100927	2
property	gyro	weight	heavy	1	jjnnInGloss,	0.0238095	1
property	gyro	weight	light	41	2gms,	0.97619	1
property	gyroscope	weight	heavy	86	2gms,jjnnInGloss,	1	2
property	halberd	weight	heavy	47	2gms,	1	1
property	halter	weight	light	86	2gms,	0.427861	1
property	hamburger	weight	fat	798	2gms,	0.788538	1
property	hammer	weight	fat	148	2gms,	0.00960291	1
property	hammer	weight	heavy	7985	2gms,nounAndItsGloss,web1t,nounAndItsGloss,	0.518103	4
property	hammer	weight	light	2625	2gms,web1t,jjnnInGloss,nounAndItsGloss,	0.170322	4
property	hammock	weight	heavy	46	2gms,	0.177606	1
property	hammock	weight	light	50	2gms,	0.19305	1
property	handlebar	weight	fat	1	web1t,	0.000617284	1
property	handlebar	weight	light	188	2gms,web1t,	0.116049	2
property	harp	weight	heavy	44	2gms,	0.113402	1
property	harp	weight	light	344	2gms,	0.886598	1
property	solar heater	weight	light	62	3gms,	0.0326144	1
property	helmet	weight	fat	70	2gms,	0.000143473	1
property	helmet	weight	light	1568	2gms,web1t,	0.00321381	2
property	helmet	weight	fat	70	2gms,	0.0133894	1
property	helmet	weight	heavy	1074	2gms,web1t,	0.205432	2
property	helmet	weight	light	1568	2gms,web1t,	0.299923	2
property	highlighter	weight	light	179	2gms,	0.537538	1
property	strap hinge	weight	heavy	168	3gms,	0.0231214	1
property	hold	weight	fat	329	2gms,	0.000300545	1
property	hold	weight	fat	329	2gms,	0.018707	1
property	hold	weight	heavy	527	2gms,	0.0299653	1
property	hold	weight	light	8533	2gms,web1t,	0.485188	2
property	homestead	weight	light	82	2gms,	0.666667	1
property	honeycomb	weight	light	178	2gms,	0.00493307	1
property	honeycomb	weight	light	178	2gms,	0.0657797	1
property	hook	weight	fat	349	2gms,	0.0398447	1
property	hook	weight	heavy	2052	2gms,web1t,	0.234273	2
property	hook	weight	light	1589	2gms,web1t,	0.181413	2
property	hoover	weight	light	47	2gms,	0.391667	1
property	horn	weight	heavy	1327	2gms,web1t,	0.00279408	2
property	horn	weight	heavy	1327	2gms,web1t,	0.00279408	2
property	horn	weight	fat	496	2gms,web1t,	0.14627	2
property	horn	weight	heavy	1327	2gms,web1t,	0.39133	2
property	horn	weight	light	1365	2gms,	0.402536	1
property	opera house	weight	light	44	3gms,	0.000168863	1
property	injector	weight	light	231	2gms,	0.55	1
property	ipod	weight	fat	144	2gms,	0.126984	1
property	ipod	weight	heavy	766	2gms,	0.675485	1
property	ipod	weight	light	145	2gms,	0.127866	1
property	dust jacket	weight	heavy	40	3gms,	0.000554885	1
property	dust jacket	weight	light	536	3gms,	0.00743546	1
property	bell jar	weight	light	51	3gms,	0.00377498	1
property	jeep	weight	fat	55	2gms,	0.0163447	1
property	jeep	weight	heavy	915	2gms,	0.271917	1
property	jeep	weight	light	1503	2gms,	0.446657	1
property	jig	weight	heavy	1627	2gms,	0.27893	1
property	jig	weight	light	3732	2gms,	0.639808	1
property	computer keyboard	weight	light	202	3gms,web1t,	0.0326544	2
property	ladle	weight	heavy	155	2gms,web1t,	0.0686448	2
property	lamp	weight	fat	424	2gms,web1t,	0.00293961	2
property	lamp	weight	heavy	445	2gms,web1t,	0.0030852	2
property	floor lamp	weight	light	11193	3gms,	0.0776014	1
property	lamp	weight	light	77625	2gms,web1t,	0.538177	2
property	street lamp	weight	light	100	3gms,	0.000693303	1
property	table lamp	weight	light	10877	3gms,	0.0754106	1
property	tail lamp	weight	light	88	3gms,	0.000610107	1
property	lampshade	weight	light	524	2gms,nounAndItsGloss,	1	2
property	laptop	weight	light	43116	2gms,web1t,	0.0287425	2
property	laptop	weight	heavy	2246	2gms,web1t,	0.0462883	2
property	laptop	weight	light	43116	2gms,web1t,	0.888587	2
property	latch	weight	heavy	201	2gms,	0.133024	1
property	latch	weight	light	194	2gms,	0.128392	1
property	lemon	weight	fat	3393	2gms,	0.228593	1
property	lemon	weight	heavy	52	2gms,	0.00350333	1
property	lemon	weight	light	9721	2gms,web1t,	0.654922	2
property	contact lens	weight	light	323	3gms,	0.00360773	1
property	fresnel lens	weight	light	54	3gms,	0.00060315	1
property	lightbulb	weight	light	206	2gms,	0.622356	1
property	limited	weight	light	3506	2gms,	0.000854763	1
property	limited	weight	fat	71	2gms,	0.00176209	1
property	limited	weight	light	3506	2gms,	0.0870126	1
property	power line	weight	heavy	62	3gms,	0.00049522	1
property	linotype	weight	heavy	3336	2gms,	0.148623	1
property	linotype	weight	light	11949	2gms,	0.532344	1
property	lipstick	weight	fat	107	2gms,web1t,	0.0867099	2
property	lipstick	weight	heavy	600	2gms,web1t,	0.486224	2
property	lipstick	weight	light	471	2gms,	0.381686	1
property	lobster	weight	fat	246	2gms,	0.0151375	1
property	lobster	weight	heavy	208	2gms,	0.0127992	1
property	lobster	weight	light	371	2gms,	0.0228294	1
property	local	weight	fat	284	2gms,	0.049152	1
property	local	weight	heavy	3379	2gms,	0.584804	1
property	local	weight	light	1485	2gms,	0.257009	1
property	locket	weight	heavy	401	2gms,web1t,	1	2
property	lock	weight	fat	504	2gms,	0.0442183	1
property	lock	weight	heavy	3088	2gms,web1t,	0.270925	2
property	lock	weight	light	2968	2gms,web1t,	0.260397	2
property	steam locomotive	weight	heavy	112	3gms,	0.0503824	1
property	lute	weight	fat	165	2gms,	1	1
property	mailbox	weight	light	148	2gms,	0.141087	1
property	mangle	weight	heavy	1	nounAndItsGloss,	0.000985222	1
property	mangle	weight	heavy	1	nounAndItsGloss,	1	1
property	mascara	weight	heavy	744	2gms,web1t,	0.790648	2
property	mascara	weight	light	93	2gms,	0.098831	1
property	mast	weight	aeriform	1	web1t,	9.10233e-06	1
property	mast	weight	aeriform	1	web1t,	0.000533333	1
property	mast	weight	heavy	418	2gms,	0.222933	1
property	mast	weight	light	1189	2gms,web1t,	0.634133	2
property	matchbox	weight	heavy	54	2gms,web1t,	0.534653	2
property	matchbox	weight	light	47	2gms,	0.465347	1
property	metronome	weight	light	149	2gms,	0.086177	1
property	microphone	weight	fat	2	web1t,	0.000744048	1
property	microphone	weight	heavy	269	2gms,	0.100074	1
property	microphone	weight	light	1439	2gms,web1t,	0.535342	2
property	microwave	weight	fat	712	2gms,	0.119825	1
property	microwave	weight	heavy	66	2gms,	0.0111074	1
property	microwave	weight	light	1367	2gms,web1t,	0.230057	2
property	minibus	weight	light	1	nounAndItsGloss,	1	1
property	ministry	weight	heavy	61	2gms,	7.34736e-05	1
property	ministry	weight	heavy	61	2gms,	0.00410553	1
property	ministry	weight	light	12307	2gms,	0.828308	1
property	mitten	weight	heavy	320	2gms,	1	1
property	cement mixer	weight	light	115	3gms,	0.000292691	1
property	cement mixer	weight	light	115	3gms,	0.0264489	1
property	monument	weight	heavy	172	2gms,	0.266667	1
property	monument	weight	light	215	2gms,	0.333333	1
property	mosaic	weight	aeriform	1	nounAndItsGloss,	4.72728e-06	1
property	mosaic	weight	heavy	52	2gms,	0.000245819	1
property	mosaic	weight	aeriform	1	nounAndItsGloss,	0.0027933	1
property	mosaic	weight	heavy	52	2gms,	0.145251	1
property	mosaic	weight	light	304	2gms,	0.849162	1
property	motel	weight	light	905	2gms,	0.198074	1
property	motorcycle	weight	fat	156	2gms,	0.0119385	1
property	motorcycle	weight	heavy	1847	2gms,web1t,	0.141348	2
property	motorcycle	weight	light	4368	2gms,web1t,	0.334277	2
property	mouthpiece	weight	heavy	167	2gms,	0.424936	1
property	mouthpiece	weight	light	1	web1t,	0.00254453	1
property	mudguard	weight	light	316	2gms,	1	1
property	muffler	weight	heavy	66	2gms,	0.100763	1
property	muffler	weight	light	60	2gms,	0.0916031	1
property	nail	weight	fat	1215	2gms,web1t,	0.001634	2
property	nail	weight	fat	1215	2gms,web1t,	0.123026	2
property	nail	weight	heavy	1850	2gms,web1t,	0.187323	2
property	nail	weight	light	2457	2gms,	0.248785	1
property	oboe	weight	light	256	2gms,	1	1
property	oled	weight	light	55	2gms,	1	1
property	orange	weight	heavy	55	2gms,	0.228216	1
property	orange	weight	light	185	2gms,web1t,	0.767635	2
property	otter	weight	fat	401	2gms,web1t,	1	2
property	microwave oven	weight	light	289	3gms,	0.000395819	1
property	dutch oven	weight	heavy	1412	3gms,	0.217767	1
property	microwave oven	weight	light	289	3gms,	0.0445713	1
property	pack	weight	fat	37269	2gms,web1t,	0.23107	2
property	ice pack	weight	heavy	66	3gms,	0.000409203	1
property	pack	weight	heavy	16657	2gms,web1t,	0.103274	2
property	pack	weight	light	77739	2gms,web1t,	0.481986	2
property	palace	weight	fat	48	2gms,web1t,	0.022567	2
property	palace	weight	light	426	2gms,	0.200282	1
property	pallet	weight	heavy	1309	2gms,web1t,	0.256315	2
property	pallet	weight	light	425	2gms,	0.0832191	1
property	solar panel	weight	light	179	3gms,	4.7215e-05	1
property	solar panel	weight	light	179	3gms,	0.0047576	1
property	frying pan	weight	fat	1	web1t,	3.91573e-05	1
property	frying pan	weight	heavy	3887	3gms,web1t,	0.152205	2
property	pannier	weight	heavy	107	2gms,	1	1
property	pecan	weight	fat	88	2gms,	0.213075	1
property	pecan	weight	light	325	2gms,	0.786925	1
property	fountain pen	weight	fat	111	3gms,	0.00129425	1
property	perfume	weight	heavy	3522	2gms,web1t,jjnnInGloss,	0.298626	3
property	perfume	weight	light	7753	2gms,web1t,	0.657368	2
property	piano	weight	heavy	51	2gms,web1t,	1	2
property	pier	weight	heavy	167	2gms,	0.193735	1
property	pier	weight	light	247	2gms,	0.286543	1
property	pin	weight	fat	299	2gms,	0.0303092	1
property	pin	weight	heavy	534	2gms,web1t,jjnnInGloss,	0.0541308	3
property	pin	weight	light	4989	2gms,web1t,	0.505727	2
property	piston	weight	light	824	2gms,	0.0066831	1
property	piston	weight	heavy	364	2gms,web1t,	0.230234	2
property	piston	weight	light	824	2gms,	0.521189	1
property	pizza	weight	light	715	2gms,web1t,	0.00133001	2
property	pizza	weight	fat	14442	2gms,	0.838287	1
property	pizza	weight	heavy	770	2gms,	0.0446947	1
property	pizza	weight	light	715	2gms,web1t,	0.0415022	2
property	plaque	weight	fat	7	web1t,	2.21531e-05	1
property	plaque	weight	fat	7	web1t,	0.00288779	1
property	plaque	weight	heavy	787	2gms,	0.32467	1
property	plaque	weight	light	1207	2gms,	0.497937	1
property	plimsoll	weight	light	1	nounAndItsGloss,	1	1
property	plug	weight	aeriform	2	web1t,	3.0448e-06	1
property	plug	weight	light	4651	2gms,web1t,	0.00708069	2
property	plug	weight	aeriform	2	web1t,	0.000267559	1
property	plug	weight	fat	518	2gms,	0.0692977	1
property	plug	weight	heavy	315	2gms,web1t,	0.0421405	2
property	plug	weight	light	4651	2gms,web1t,	0.622207	2
property	nail polish	weight	light	96	3gms,	0.0236046	1
property	pontoon	weight	light	120	2gms,	0.00632745	1
property	pontoon	weight	heavy	192	2gms,	0.615385	1
property	pontoon	weight	light	120	2gms,	0.384615	1
property	portfolio	weight	light	310	2gms,	0.00028202	1
property	portfolio	weight	fat	197	2gms,	0.13081	1
property	portfolio	weight	heavy	789	2gms,	0.523904	1
property	portfolio	weight	light	310	2gms,	0.205843	1
property	mashed potato	weight	fat	404	3gms,	0.057468	1
property	mashed potato	weight	light	43	3gms,	0.00611664	1
property	potpourri	weight	light	125	2gms,web1t,	1	2
property	baby powder	weight	light	54	3gms,	0.00242413	1
property	face powder	weight	light	109	3gms,	0.00489316	1
property	pretzel	weight	fat	604	2gms,	1	1
property	puck	weight	heavy	62	2gms,	0.26383	1
property	puck	weight	light	69	2gms,	0.293617	1
property	bicycle pump	weight	light	396	3gms,	0.0362206	1
property	purse	weight	light	593	2gms,web1t,	0.00206353	2
property	purse	weight	fat	1123	2gms,web1t,	0.300992	2
property	purse	weight	heavy	2015	2gms,web1t,	0.54007	2
property	purse	weight	light	593	2gms,web1t,	0.158939	2
property	quiver	weight	heavy	188	2gms,	0.27566	1
property	quiver	weight	light	358	2gms,	0.524927	1
property	racket	weight	heavy	381	2gms,web1t,	0.296498	2
property	tennis racket	weight	heavy	44	3gms,	0.0342412	1
property	racket	weight	light	449	2gms,web1t,	0.349416	2
property	tennis racket	weight	light	106	3gms,	0.0824903	1
property	tennis racquet	weight	light	631	3gms,	0.016326	1
property	tennis racquet	weight	heavy	289	3gms,	0.102446	1
property	tennis racquet	weight	light	631	3gms,	0.22368	1
property	radiator	weight	heavy	48	2gms,	0.0251969	1
property	radiator	weight	light	153	2gms,web1t,	0.080315	2
property	railing	weight	heavy	44	2gms,	6.13482e-05	1
property	railing	weight	light	196	2gms,web1t,	0.000273278	2
property	range	weight	aeriform	1	web1t,	4.9519e-08	1
property	range	weight	fat	2612	2gms,web1t,	0.122796	2
property	range	weight	heavy	1076	2gms,web1t,	0.0505853	2
property	range	weight	light	10439	2gms,web1t,	0.490762	2
property	ray	weight	fat	543	2gms,	0.00427078	1
property	ray	weight	heavy	48	2gms,	0.000377528	1
property	ray	weight	light	125412	2gms,web1t,	0.986385	2
property	razorblade	weight	light	119	2gms,	1	1
property	refrigerator	weight	fat	1	web1t,	0.00552486	1
property	refrigerator	weight	heavy	71	2gms,	0.392265	1
property	refrigerator	weight	light	60	2gms,	0.331492	1
property	remote	weight	light	651	2gms,	1	1
property	resonator	weight	fat	830	2gms,	1	1
property	spinning rod	weight	heavy	380	3gms,	0.0160724	1
property	fly rod	weight	light	311	3gms,	0.013154	1
property	spinning rod	weight	light	1038	3gms,	0.0439031	1
property	rotisserie	weight	heavy	292	2gms,web1t,	0.227237	2
property	rotisserie	weight	light	80	2gms,	0.0622568	1
property	rubber	weight	fat	1498	2gms,	0.0313179	1
property	rubber	weight	heavy	23773	2gms,web1t,	0.49701	2
property	rubber	weight	light	2983	2gms,web1t,	0.0623641	2
property	rudder	weight	heavy	71	2gms,	0.601695	1
property	rudder	weight	light	47	2gms,	0.398305	1
property	sack	weight	light	149	2gms,nounAndItsGloss,	0.00116422	2
property	sack	weight	fat	5807	2gms,web1t,	0.446349	2
property	sack	weight	heavy	3965	2gms,web1t,	0.304766	2
property	sack	weight	light	149	2gms,nounAndItsGloss,	0.0114527	2
property	safe	weight	fat	447	2gms,	0.0802513	1
property	safe	weight	heavy	830	2gms,web1t,	0.149013	2
property	safe	weight	light	2713	2gms,web1t,	0.487074	2
property	samovar	weight	light	1	web1t,	1	1
property	sarcophagus	weight	heavy	51	2gms,	1	1
property	sax	weight	fat	397	2gms,	0.67517	1
property	sax	weight	heavy	73	2gms,	0.12415	1
property	sax	weight	light	57	2gms,	0.0969388	1
property	saxophone	weight	heavy	47	2gms,	0.319728	1
